Membership No  Date Joined  Active  
    50866      2019-12-14   no    
    61406      2018-10-10   no    
    56036      2019-5-6     no    
    76293      2018-11-13   no    
    86963      2015-10-21   no    
    17485      2018-2-6     no    
    38674      2016-10-17   no    
    43864      2019-4-1     no    
    76753      2019-2-21    no    
    76777      2020-11-2    no    
    51334      2016-8-23    no    
    67217      2016-5-22    no    
    58232      2017-9-22    no    
    30377      2017-12-1    no    
