Membership No  Date Joined  Active  
    87223      2016-7-18    no    
    10174      2017-1-23    no    
    91282      2017-8-6     no    
    86115      2019-7-6     yes   
    25277      2016-7-17    no    
    93954      2017-3-18    no    
    97105      2017-5-1     no    
    41449      2018-9-10    no    
    26617      2019-9-22    yes   
    23568      2019-7-19    no    
    78046      2019-6-8     yes   
    65831      2016-1-9     yes   
    60032      2019-3-18    no    
    87842      2016-11-6    no    
    75125      2015-3-3     yes   
    17360      2018-7-17    yes   
    91706      2015-5-22    yes   
    39209      2017-8-16    yes   
    41118      2018-6-6     no    
    47586      2019-2-13    yes   
